Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
1,75.4327,6.40175e+006,3.75418,0,2,False,
2,80.0603,6.03172e+006,3.69315,0,7,True,
3,92.3915,5.22669e+006,3.55299,0,2,False,
4,21.2603,2.27138e+007,3.62151,0,2,False,
5,307.927,1.56823e+006,3.50436,0,2,False,
10,161.321,2.99341e+006,2.96831,3,2,False,
12,154.039,3.13492e+006,3.75083,0,2,False,
13,44.6045,1.08263e+007,3.86313,0,3,False,
15,152.796,3.16044e+006,3.60499,0,3,False,
17,456.238,1.05844e+006,4.41675,0,2,False,
18,130.664,3.69576e+006,4.38722,0,6,False,
19,94.1132,5.13107e+006,4.76914,0,21,True,
20,112.053,4.30958e+006,4.66637,0,6,True,
21,58.4805,8.25748e+006,4.59729,0,5,True,
22,121.695,3.96814e+006,4.58185,0,2,False,
23,95.0907,5.07832e+006,4.89419,0,86,True,
24,107.248,4.50264e+006,4.80513,0,4,False,
25,38.7612,1.24584e+007,4.78136,0,5,True,
26,75.7639,6.37376e+006,4.996,0,17,True,
113,785.293,614931,3.02723,1,2,False,
121,257.897,1.87245e+006,3.45174,1,2,False,
144,72.1444,6.69354e+006,3.49891,2,2,False,
145,214.588,2.25036e+006,3.00436,2,2,False,
146,3424.15,141028,3.37296,3,2,False,
147,55.2996,8.73246e+006,2.94703,2,2,False,
149,195.937,2.46457e+006,2.99439,3,2,False,
152,337.267,1.43181e+006,3.09976,3,2,False,
153,215.488,2.24097e+006,3.16978,3,2,False,
154,102.336,4.71877e+006,2.94553,3,2,False,
161,285.988,1.68854e+006,3.47913,4,2,False,
162,28.4497,1.69739e+007,4.00361,4,2,False,
220,77.1138,6.26219e+006,2.98914,5,2,False,
325,157.788,3.06045e+006,2.94453,10,2,False,
329,140.332,3.44113e+006,2.78393,5,2,False,
346,51.1291,9.44474e+006,3.50465,5,2,False,
379,152.956,3.15713e+006,4.16049,5,5,False,
380,73.3775,6.58105e+006,3.81661,5,5,True,
381,1010.82,477730,3.94491,5,2,False,
382,93.1864,5.1821e+006,4.6091,5,3,False,
384,129.292,3.73497e+006,4.86256,5,9,True,
385,20.1376,2.39801e+007,2.98513,0,3,False,
387,34.3602,1.40541e+007,4.01441,6,4,False,
486,258.922,1.86504e+006,3.05858,7,2,False,
509,37.1755,1.29898e+007,3.04552,7,2,False,
524,27.5613,1.7521e+007,3.58827,7,3,False,
576,54.9721,8.78448e+006,3.01842,7,2,False,
578,82.9828,5.81929e+006,3.18802,7,4,False,
595,114.921,4.20204e+006,3.57217,9,2,False,
601,76.2357,6.33432e+006,3.90811,7,3,False,
605,197.259,2.44806e+006,3.89721,7,3,False,
606,133.178,3.62599e+006,3.72268,7,2,False,
610,24.5153,1.9698e+007,3.80124,7,3,False,
611,184.688,2.61469e+006,3.9729,7,3,False,
612,73.6124,6.56005e+006,3.60066,7,2,False,
617,30.4157,1.58767e+007,4.41139,7,4,False,
619,559.249,863482,3.64691,8,2,False,
620,17.4248,2.77135e+007,3.44021,8,2,False,
621,97.5284,4.95139e+006,3.3619,8,3,False,
622,10.7856,4.47728e+007,2.93883,8,3,False,
626,271.37,1.77949e+006,3.83678,8,5,False,
658,57.4484,8.40582e+006,2.98914,9,2,False,
711,23.47,2.05752e+007,2.6726,9,2,False,
755,274.342,1.76022e+006,3.10233,9,2,False,
760,23.904,2.02017e+007,3.09804,9,2,False,
827,54.5817,8.84731e+006,3.88058,9,4,False,
830,146.105,3.30517e+006,4.00864,9,2,False,
831,176.207,2.74053e+006,4.23789,9,5,False,
