Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
1,74.1202,6.50446e+006,3.59858,0,3,False,
5,88.5543,5.44426e+006,4.24522,0,13,True,
7,19.8501,2.42877e+007,3.55816,0,3,False,
8,100.052,4.81862e+006,4.03677,0,3,False,
9,121.254,3.97604e+006,4.58515,0,21,True,
11,53.1646,9.06829e+006,4.14065,0,6,True,
14,105.026,4.59042e+006,4.5942,0,4,False,
15,100.067,4.8179e+006,4.4351,0,12,True,
16,104.795,4.60054e+006,4.6351,0,2,False,
20,235.562,2.04665e+006,3.04234,1,2,False,
23,344.864,1.39798e+006,2.98481,1,2,False,
24,293.167,1.64449e+006,2.64593,1,2,False,
26,241.809,1.99378e+006,3.05094,1,2,False,
27,246.119,1.95886e+006,3.41391,1,2,False,
28,231.811,2.07976e+006,3.26512,1,2,False,
30,261.813,1.84143e+006,3.5668,1,2,False,
31,359.185,1.34224e+006,2.80662,1,2,False,
33,188.09,2.5632e+006,2.98961,1,2,False,
35,132784,3630.79,2.59107,1,2,False,
36,17.3446,2.77961e+007,2.60172,1,2,False,
38,213.314,2.2601e+006,2.93395,1,2,False,
40,260.152,1.8532e+006,2.65266,1,2,False,
42,147.506,3.26843e+006,2.80662,1,2,False,
47,293.876,1.64053e+006,3.21285,1,2,False,
49,262.388,1.8374e+006,3.06881,1,2,False,
54,87.5843,5.50455e+006,2.75284,1,2,False,
55,120.507,4.0007e+006,2.89889,1,2,False,
58,348.344,1.38401e+006,2.67588,1,2,False,
59,447.361,1.07768e+006,3.20978,1,2,False,
60,151.351,3.18539e+006,2.94353,1,2,False,
61,234.583,2.05519e+006,3.25709,1,2,False,
68,364.858,1.32137e+006,3.01469,1,2,False,
69,251.592,1.91625e+006,3.11255,1,2,False,
73,309.479,1.55782e+006,3.10532,1,2,False,
74,446.343,1.08014e+006,3.39332,1,2,False,
77,474.049,1.01701e+006,3.4966,1,2,False,
78,609.233,791344,3.38851,1,2,False,
79,342.146,1.40908e+006,3.31133,1,2,False,
80,256.621,1.87869e+006,3.2991,1,2,False,
81,241.428,1.99692e+006,3.33671,1,2,False,
83,237.43,2.03054e+006,3.51632,1,2,False,
87,214.512,2.24748e+006,3.38303,1,2,False,
88,334.914,1.43951e+006,3.66121,1,2,False,
89,210.885,2.28613e+006,3.7213,1,2,False,
90,3803.4,126758,3.7635,1,2,False,
92,102.743,4.69243e+006,3.3608,1,2,False,
93,2327.03,207179,3.37034,1,2,False,
94,579.624,831767,3.09589,1,2,False,
95,450.06,1.07122e+006,3.37328,1,2,False,
97,284.361,1.69543e+006,3.12518,1,2,False,
103,327.935,1.47015e+006,3.54257,1,2,False,
104,423.96,1.13717e+006,3.49313,1,2,False,
106,31.9463,1.50913e+007,3.92027,1,2,False,
111,484.418,995241,3.77471,1,2,False,
114,9033.63,53368.6,3.3068,1,2,False,
118,432.828,1.11387e+006,3.52027,1,2,False,
121,108.438,4.44598e+006,3.0355,1,2,False,
123,366.763,1.31451e+006,3.68108,1,2,False,
126,63.1248,7.63745e+006,3.77231,1,2,False,
127,36.5553,1.31886e+007,3.41922,1,2,False,
130,194.608,2.47735e+006,3.91326,1,2,False,
133,203.098,2.37379e+006,4.08519,1,2,False,
134,277.05,1.74016e+006,4.14549,1,2,False,
136,14.7648,3.26528e+007,3.94454,1,2,False,
205,349.132,1.38089e+006,2.83387,3,2,False,
207,2681.8,179772,2.7357,3,2,False,
210,94.547,5.09918e+006,3.68539,3,6,True,
211,48.5022,9.94e+006,3.66845,3,6,True,
212,114.112,4.22489e+006,3.07631,3,2,False,
214,5545.92,86931,4.2844,3,2,False,
218,109.453,4.40475e+006,3.46642,4,2,False,
221,34.0765,1.41479e+007,3.78136,4,4,False,
222,29.9838,1.60791e+007,3.16657,4,2,False,
223,25.245,1.90974e+007,3.95691,4,4,False,
224,15773,30565.7,4.82037,4,2,False,
229,9.25845,5.20727e+007,2.81465,5,2,False,
440,26.3828,1.82738e+007,3.45636,5,3,False,
453,59.1678,8.14823e+006,3.31687,5,2,False,
458,102.257,4.7147e+006,3.58941,5,2,False,
459,15.1945,3.17294e+007,3.55417,5,3,False,
460,32.6397,1.47707e+007,3.62253,6,2,False,
462,30.3604,1.58796e+007,3.49052,5,2,False,
467,75.9493,6.34782e+006,4.49772,5,10,True,
468,54.7677,8.80285e+006,3.93722,5,9,True,
469,47.061,1.02444e+007,4.41556,5,3,False,
470,121.427,3.97037e+006,2.84389,6,2,False,
471,21.9044,2.20098e+007,3.42171,6,4,False,
473,38.1963,1.2622e+007,3.81084,6,3,False,
537,17.6371,2.73352e+007,3.55829,7,4,False,
607,796.584,605225,2.8642,7,2,False,
625,26.362,1.82882e+007,3.18118,7,3,False,
636,33.8055,1.42613e+007,2.99439,7,3,False,
675,16.8102,2.86798e+007,3.52486,7,3,False,
686,77.206,6.2445e+006,3.05049,7,2,False,
692,211.832,2.27591e+006,3.5508,7,2,False,
698,103.672,4.65034e+006,3.82063,8,2,False,
704,10.2527,4.70231e+007,3.74432,7,2,False,
705,33.256,1.4497e+007,3.90466,7,2,False,
