Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,38.1453,1.21782e+007,2.64488,0,3,False,
1,161.968,2.86811e+006,2.96755,0,8,True,
2,99.0068,4.69202e+006,3.02204,0,17,True,
5,84.1307,5.52167e+006,2.7961,0,3,False,
6,35.6656,1.3025e+007,2.64445,0,2,False,
7,163.652,2.8386e+006,3.50644,0,13,True,
8,105.534,4.40184e+006,3.98501,0,18,True,
10,188.414,2.46554e+006,3.53581,0,13,True,
11,47.1758,9.84704e+006,4.55095,0,3,False,
12,32.6775,1.4216e+007,3.77537,0,2,False,
14,118.495,3.92034e+006,4.16133,0,9,True,
15,70.4145,6.59726e+006,3.89841,0,2,False,
16,142.844,3.2521e+006,4.99419,0,4,False,
18,179.922,2.58191e+006,3.57229,16,3,False,
19,163.702,2.83773e+006,6.05436,0,27,True,
20,236.192,1.9668e+006,6.20786,0,22,True,
22,217.894,2.13197e+006,3.58671,1,2,False,
23,30.8879,1.50396e+007,2.87461,1,3,False,
25,84.8033,5.47788e+006,3.24958,2,4,False,
27,195.304,2.37856e+006,5.23645,2,19,True,
28,123.837,3.75125e+006,5.22211,2,30,True,
31,407.303,1.14053e+006,2.77774,3,2,False,
34,63.9418,7.26508e+006,2.66878,3,2,False,
35,49.6236,9.36131e+006,2.96543,4,2,False,
37,129.521,3.5866e+006,4.84761,4,6,True,
38,342.045,1.35813e+006,4.60372,4,3,False,
40,91.3817,5.08354e+006,3.37677,5,14,True,
41,80.1622,5.79503e+006,4.47621,5,10,True,
42,131.537,3.53165e+006,4.22963,6,7,True,
44,299.84,1.5493e+006,2.89331,6,2,False,
45,136.592,3.40094e+006,3.74052,6,17,True,
48,42.1312,1.10261e+007,2.46303,7,2,False,
49,91.7314,5.06416e+006,4.05912,7,12,True,
50,349.812,1.32798e+006,2.71934,7,2,False,
51,129.228,3.59475e+006,2.43786,7,2,False,
53,167.206,2.77827e+006,3.11857,7,4,False,
54,155.715,2.98329e+006,4.3314,7,26,True,
55,130.783,3.552e+006,3.00145,8,9,True,
56,197.338,2.35404e+006,2.60073,8,2,False,
