Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
2,84.1742,5.55504e+006,3.11615,0,3,False,
3,203.626,2.29632e+006,3.11291,0,3,False,
4,33.026,1.41582e+007,3.32159,0,2,False,
5,156.203,2.99348e+006,2.52917,0,2,False,
6,176.497,2.64928e+006,2.79238,0,3,False,
9,148.564,3.1474e+006,3.173,0,6,False,
10,295.209,1.58393e+006,3.46529,0,3,False,
14,82.6041,5.66062e+006,3.24012,0,5,True,
16,120.933,3.86653e+006,3.96481,0,10,True,
17,148.033,3.1587e+006,3.9646,0,2,False,
18,54.0998,8.64311e+006,3.51905,0,4,False,
20,37.0453,1.26221e+007,4.40345,0,3,False,
21,255.08,1.83311e+006,4.60433,0,2,False,
22,138.494,3.37626e+006,4.37552,0,27,True,
23,98.7551,4.73485e+006,4.33154,0,12,True,
24,94.5963,4.94301e+006,4.72776,0,7,True,
25,60.0492,7.78679e+006,4.1581,0,3,False,
26,189.783,2.46382e+006,4.91228,0,8,False,
27,68.124,6.86382e+006,5.2821,0,3,False,
29,153.721,3.04181e+006,5.76025,0,7,False,
30,152.494,3.0663e+006,5.85184,0,65,True,
31,78.4179,5.9628e+006,6.13279,0,2,False,
32,71.4006,6.54883e+006,2.44895,1,4,False,
34,64.3526,7.26607e+006,3.41425,1,14,True,
36,56.8069,8.23123e+006,2.78038,1,3,False,
38,121.413,3.85124e+006,3.39704,1,4,False,
39,74.0596,6.3137e+006,3.30655,1,9,True,
42,322.68,1.44908e+006,2.54648,2,2,False,
43,159.149,2.93807e+006,3.47922,2,8,True,
44,135.923,3.44012e+006,3.00888,2,9,True,
45,209.802,2.22872e+006,5.63276,2,60,True,
46,464.323,1.00704e+006,4.29059,2,5,False,
48,169.3,2.7619e+006,6.03347,2,54,True,
49,119.996,3.89673e+006,3.37654,3,9,True,
52,212.219,2.20334e+006,3.10067,3,2,False,
55,73.1838,6.38926e+006,4.28986,3,7,True,
56,83.6175,5.59202e+006,2.82896,4,3,False,
58,58.3741,8.01024e+006,3.31166,4,4,False,
61,49.1589,9.51182e+006,3.74548,4,5,True,
62,94.2708,4.96008e+006,4.40547,4,25,True,
63,154.649,3.02357e+006,4.38745,4,9,True,
64,1073.7,435497,3.06811,5,3,False,
66,69.0372,6.77302e+006,2.78565,5,5,True,
67,91.4135,5.11511e+006,3.34631,5,2,False,
71,184.285,2.53732e+006,2.61084,6,4,False,
75,208.114,2.2468e+006,2.94453,7,2,False,
77,159.449,2.93255e+006,3.48244,6,2,False,
79,92.1602,5.07367e+006,4.54248,6,16,True,
82,75.5839,6.18638e+006,3.69292,7,5,True,
83,138.245,3.38234e+006,4.42561,7,13,True,
84,681.41,686210,3.17122,8,2,False,
87,593.953,787252,2.91134,8,2,False,
88,145.208,3.22014e+006,2.98621,8,3,False,
91,41.2712,1.13297e+007,2.51894,8,4,False,
96,55.3634,8.44585e+006,3.87104,12,2,False,
97,188.197,2.48458e+006,3.98624,9,12,True,
98,163.696,2.85646e+006,2.84465,10,3,False,
99,85.0373,5.49865e+006,2.9264,10,14,True,
100,651.402,717822,3.33921,10,2,False,
102,61.6267,7.58747e+006,3.34373,10,2,False,
103,62.1858,7.51925e+006,2.94741,11,2,False,
105,547.621,853857,2.74897,11,3,False,
107,286.419,1.63254e+006,3.64889,11,6,False,
113,116.308,4.02029e+006,4.24869,12,6,True,
114,57.9661,8.06662e+006,3.89322,12,2,False,
115,192.3,2.43157e+006,2.67508,13,4,False,
116,306.474,1.52571e+006,2.89432,13,4,False,
117,146.109,3.20028e+006,3.29945,13,8,True,
118,310.321,1.5068e+006,3.81651,13,5,False,
122,94.9243,4.92593e+006,3.1459,14,3,False,
123,61.385,7.61734e+006,3.27922,14,2,False,
124,72.0391,6.49079e+006,3.22196,14,3,False,
125,243.438,1.92078e+006,3.42236,14,4,False,
126,214.824,2.17662e+006,3.8378,9,3,False,
127,124.119,3.76729e+006,2.8232,16,2,False,
128,185.292,2.52353e+006,3.65308,15,12,True,
129,376.487,1.24198e+006,3.1702,17,3,False,
133,78.1021,5.98692e+006,3.09836,16,10,True,
136,148.238,3.15433e+006,3.02741,18,2,False,
137,219.496,2.13029e+006,2.71331,17,2,False,
139,424.099,1.10255e+006,3.08159,17,3,False,
147,114.782,4.07374e+006,3.90582,18,29,True,
149,178.161,2.62453e+006,3.52391,19,4,False,
154,86.7214,5.39187e+006,2.75942,19,2,False,
157,1219.46,383442,2.82753,19,2,False,
159,149.331,3.13124e+006,4.09475,19,8,True,
160,43.8238,1.06698e+007,3.95183,19,3,False,
161,154.982,3.01706e+006,2.96355,20,2,False,
162,25.1988,1.85561e+007,4.25363,57,2,False,
164,282.349,1.65607e+006,3.23845,20,7,False,
165,43.7151,1.06963e+007,2.5393,20,3,False,
166,347.318,1.34629e+006,2.68799,20,3,False,
167,889.093,525919,3.00958,20,2,False,
