Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,105.204,4.44142e+006,2.99854,0,5,True,
1,778.861,599918,3.15735,4,3,False,
3,758.808,615772,2.52772,0,2,False,
4,121.34,3.85078e+006,3.6119,0,4,False,
6,395.717,1.18077e+006,2.92023,0,2,False,
7,137.555,3.39684e+006,3.3343,0,14,True,
8,796.108,586922,3.28879,0,2,False,
12,595.441,784717,3.02918,0,2,False,
15,561.16,832655,3.0484,4,2,False,
16,244.523,1.91087e+006,2.9057,0,3,False,
17,189.083,2.47115e+006,3.91662,15,3,False,
18,97.652,4.78487e+006,3.95752,0,5,True,
19,116.712,4.00346e+006,3.54572,0,12,True,
21,233.02,2.0052e+006,3.87862,0,2,False,
23,56.5319,8.2653e+006,3.86634,0,6,True,
24,106.004,4.40787e+006,3.97665,0,2,False,
25,368.984,1.26632e+006,4.6008,0,3,False,
26,85.497,5.46514e+006,4.22121,0,4,False,
27,221.764,2.10698e+006,4.9129,0,5,False,
28,93.8892,4.97664e+006,5.02631,0,38,True,
29,1091.99,427892,5.08276,0,5,False,
30,281.64,1.65904e+006,5.6056,0,2,False,
31,116.47,4.01179e+006,5.23897,0,28,True,
32,96.2171,4.85624e+006,6.09513,0,6,True,
35,66.1512,7.06341e+006,3.24668,1,5,True,
38,38.4594,1.21493e+007,3.03883,2,3,False,
39,203.911,2.29146e+006,2.97386,2,3,False,
40,124.433,3.75505e+006,2.62393,2,3,False,
41,161.698,2.88966e+006,3.47626,2,6,False,
47,133.168,3.50874e+006,4.16019,2,2,False,
48,143.739,3.25071e+006,3.73931,2,9,True,
49,49.6915,9.40308e+006,4.93968,2,2,False,
50,137.887,3.38866e+006,5.18281,2,25,True,
52,70.1637,6.65947e+006,2.78452,3,2,False,
53,113.014,4.13448e+006,3.19342,3,3,False,
55,295.532,1.58106e+006,4.02798,3,2,False,
57,106.904,4.37077e+006,3.82842,3,8,True,
58,46.0924,1.01373e+007,4.08866,3,4,False,
60,118.351,3.94803e+006,3.28352,4,11,True,
62,248.844,1.87769e+006,4.86591,4,3,False,
63,162.698,2.8719e+006,5.46071,4,38,True,
64,495.921,942192,2.8587,5,3,False,
65,146.717,3.18472e+006,2.44262,5,2,False,
66,88899.3,5255.98,2.69376,5,2,False,
67,114.632,4.07611e+006,4.4624,5,6,True,
75,382.301,1.22221e+006,3.18822,6,5,False,
76,90.0265,5.19017e+006,3.71724,6,2,False,
78,120.825,3.86718e+006,4.9942,6,24,True,
79,131.225,3.5607e+006,3.65575,0,4,False,
81,105.112,4.4453e+006,2.61774,9,3,False,
82,77.7314,6.01112e+006,3.54013,7,11,True,
83,113.573,4.11411e+006,3.04493,7,4,False,
85,201.547,2.31833e+006,3.69799,7,5,False,
86,71.4994,6.53506e+006,4.27489,7,9,True,
88,66.2829,7.04937e+006,2.52917,0,4,False,
89,405.114,1.15339e+006,2.56769,8,2,False,
92,188.91,2.47342e+006,3.31598,8,8,False,
94,117.197,3.98691e+006,3.39245,8,12,True,
95,291.849,1.60101e+006,3.22704,8,2,False,
96,204.666,2.283e+006,4.21534,8,7,False,
97,125.16,3.73323e+006,4.01771,8,9,True,
98,129.795,3.59992e+006,3.63648,8,2,False,
99,60.4054,7.73528e+006,3.84849,8,6,True,
101,72.1724,6.47412e+006,2.31778,9,3,False,
103,165.588,2.82178e+006,4.7493,9,18,True,
104,745.446,626810,3.47964,12,2,False,
105,135.94,3.43719e+006,2.98314,9,2,False,
107,146.109,3.19798e+006,2.83719,10,2,False,
109,22.8306,2.0466e+007,2.57188,10,2,False,
110,59.3163,7.87731e+006,2.87906,10,2,False,
116,121.31,3.85174e+006,3.4386,11,4,False,
117,80.416,5.81045e+006,3.62742,11,8,True,
118,79.2333,5.89718e+006,4.30563,12,16,True,
119,36.8703,1.26729e+007,2.58984,12,2,False,
121,51.0758,9.14822e+006,3.12821,12,2,False,
122,5495.81,85019.8,3.24639,12,2,False,
123,154.024,3.03363e+006,4.20936,12,4,False,
124,34.45,1.35632e+007,3.64858,12,3,False,
125,72.7653,6.42137e+006,3.97125,12,11,True,
126,60.0505,7.781e+006,4.79298,12,4,False,
127,17.265,2.70636e+007,2.76862,7,2,False,
128,52.5086,8.89859e+006,3.1758,13,6,True,
130,103.83,4.50016e+006,2.63074,13,4,False,
131,4268.65,109461,2.48151,13,2,False,
133,91.6964,5.09565e+006,3.61624,13,12,True,
