NTA Single Analysis Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2023-12-20 15-52-31.nano
Sample Name,"lip"
Operator Name,"H460 Nan"
Time Captured,15:52:31  20/12/2023
Pre-treatment,""
Diluent,"100"
Remarks,""

Filename:,Capture 2023-12-20 15-57-25,

[Conditions]
Temperature/C,23.117,
Viscosity/cP,0.928176,
Camera Type,sCMOS,
Laser Type,Green,
Camera Level,14,
Slider Shutter,1259,
Slider Gain,366,
Shutter/ms,31.48,
Camera Histogram Upper Limit,6588,
Camera Histogram Lower Limit,0,
Frame rate/fps,24.9825,
Syringe Pump Speed/AU,50,

[Settings]
Detection Threshold,20,
Max Jump Mode,Auto,
Max Jump Distance,13.504,
Blur,Auto,
Min Track Length,Auto,
First frame,0,
Total frames analysed,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],
Dilution factor (concentrations adjusted for this factor),
Concentration (Particles / ml),8.78e+008,
Concentration Upgrade?,Yes,
Particles per frame,29.7,
Centres per frame,34.3,
Completed tracks,6015,
X-Drift (pix/frame),-4.5,
Y-Drift (pix/frame),-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,
Completed Tracks,OK,
Particles per frame,OK,
Noise level,No,
Brightness,OK,
Detection Threshold,OK,
Camera Histogram Lower Limit,OK,

[Information]
Completed Tracks,OK,
Concentration,OK,
Video length,OK,
Noise level,No,
Vibration detected,Minor vibration,
Vibration correction applied,Yes,
Settings changed?,No,
Errors (1),,
Errors (2),,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Capture 2023-12-20 15-57-25,
Mean,132.7,
Mode,124.6,
SD,26.6,
D10,89.4,
D50,120.0,
D90,157.2,
Valid Tracks,1888.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),
5.0,0,
15.0,0,
25.0,0,
35.0,0,
45.0,0,
55.0,101,
65.0,45404,
75.0,1983816,
85.0,20500573,
95.0,69585106,
105.0,95858454,
115.0,115319847,
125.0,135172635,
135.0,112114602,
145.0,88430359,
155.0,90650454,
165.0,83953335,
175.0,43509410,
185.0,12247229,
195.0,2534663,
205.0,563518,
215.0,200728,
225.0,160740,
235.0,297552,
245.0,840672,
255.0,1849285,
265.0,1669527,
275.0,394732,
285.0,19191,
295.0,178,
305.0,0,
315.0,0,
325.0,0,
335.0,0,
345.0,0,
355.0,0,
365.0,0,
375.0,0,
385.0,0,
395.0,0,
405.0,0,
415.0,0,
425.0,0,
435.0,0,
445.0,0,
455.0,0,
465.0,0,
475.0,0,
485.0,0,
495.0,0,
505.0,0,
515.0,0,
525.0,0,
535.0,0,
545.0,0,
555.0,0,
565.0,0,
575.0,0,
585.0,0,
595.0,0,
605.0,0,
615.0,0,
625.0,0,
635.0,0,
645.0,0,
655.0,0,
665.0,0,
675.0,0,
685.0,0,
695.0,0,
705.0,0,
715.0,0,
725.0,0,
735.0,0,
745.0,0,
755.0,0,
765.0,0,
775.0,0,
785.0,0,
795.0,0,
805.0,0,
815.0,0,
825.0,0,
835.0,0,
845.0,0,
855.0,0,
865.0,0,
875.0,0,
885.0,0,
895.0,0,
905.0,0,
915.0,0,
925.0,0,
935.0,0,
945.0,0,
955.0,0,
965.0,0,
975.0,0,
985.0,0,
995.0,0,

Percentile,Size (nm),
0,0.0,
1,73.3,
2,77.6,
3,80.5,
4,81.8,
5,83.1,
6,84.3,
7,85.6,
8,86.9,
9,88.1,
10,89.4,
11,90.5,
12,91.4,
13,92.3,
14,93.2,
15,94.1,
16,95.0,
17,96.0,
18,96.9,
19,97.8,
20,98.7,
21,99.6,
22,100.4,
23,101.2,
24,102.0,
25,102.7,
26,103.5,
27,104.3,
28,105.0,
29,105.8,
30,106.5,
31,107.3,
32,108.1,
33,108.8,
34,109.6,
35,110.3,
36,110.9,
37,111.6,
38,112.2,
39,112.9,
40,113.5,
41,114.2,
42,114.8,
43,115.5,
44,116.1,
45,116.8,
46,117.4,
47,118.1,
48,118.7,
49,119.4,
50,120.0,
51,120.8,
52,121.6,
53,122.4,
54,123.2,
55,124.0,
56,124.7,
57,125.5,
58,126.3,
59,127.1,
60,127.9,
61,128.7,
62,129.4,
63,130.3,
64,131.3,
65,132.3,
66,133.3,
67,134.3,
68,135.2,
69,136.2,
70,137.2,
71,138.2,
72,139.2,
73,140.2,
74,141.2,
75,142.1,
76,143.1,
77,144.1,
78,145.0,
79,146.0,
80,147.0,
81,148.0,
82,148.9,
83,149.9,
84,150.9,
85,152.0,
86,153.0,
87,154.1,
88,155.1,
89,156.2,
90,157.2,
91,158.2,
92,159.3,
93,160.7,
94,162.7,
95,164.7,
96,166.7,
97,168.7,
98,172.6,
99,179.8,
100,990.0,

